country_host,name,requirements,study_field,study_level,url
Alemania,"Becas de Investigación de Doctorado Binacional Supervisado – DAAD, 2022-2023","¿QUIÉNES PUEDEN POSTULARSE A ESTE PROGRAMA DE BECAS?,1. Requisito básico para realizar la estancia bajo la modalidad binacional: El postulante ya debe estar cursando un Doctorado o contar con la admisión a un Doctorado en una universidad del país de origen (por regla general una universidad colombiana, ecuatoriana, peruana o venezolana).,2. El director de tesis de la universidad de origen debe dar su carta de aval o aceptación para realizar la estancia en Alemania.,3. Adicionalmente, el postulante debe contar con una aceptación/invitación de un supervisor de una universidad alemana.,4. Requisito básico para realizar la estancia bajo la modalidad Cotutela: Además de las condiciones indicadas para la modalidad binacional, es necesario que exista un convenio de cooperación suscrito entre la universidad de origen y la universidad alemana, en el que se establezcan todas las pautas para la supervisión y el otorgamiento de una doble titulación.,5. También pueden participar candidatos que aún estén en el proceso de admisión al Doctorado en su país de origen. Si la beca es otorgada, a más tardar en el momento de su inicio, el candidato debe demostrar que ya cuenta con la carta de admisión definitiva al Doctorado en la universidad de origen y que el Doctorado se realizará bajo la modalidad de cotutela con la respectiva universidad alemana.,¿QUÉ TÍTULO ACADÉMICO SE DEBE TENER PARA POSTULARSE A ESTE PROGRAMA DE BECAS?,a. Por regla general para realizar una estancia doctoral en Alemania es necesario contar con un título de Maestría, y el DAAD requiere que en la postulación se demuestre que ya se completó este nivel de estudios.,b. Las Especializaciones o Diplomados no reemplazan ese requisito.,c. Sin embargo, las personas que ya están cursando el Doctorado o que fueron admitidos para iniciar uno, aún sin tener título de Maestría, podrían presentarse a esta convocatoria.,¿EXISTE UN LÍMITE DE EDAD PARA POSTULARSE A ESTA CONVOCATORIA?,1. El DAAD no estipula un límite de edad para participar, pero es requisito que el último título universitario (normalmente Maestría) no tenga una antigüedad superior a 6 años en el momento de la fecha de cierre de esta convocatoria. Si el candidato ya está realizando un Doctorado, la fecha de inicio de éste no debe superar los 3 años al momento del cierre de esta convocatoria.,2. Únicamente en casos especiales el DAAD tiene definidas algunas excepciones que permitirían postularse con un título más antiguo; por ejemplo, por motivos de fuerza mayor justificados por enfermedades crónicas o por el cuidado de hijos pequeños. Consulte la siguiente página para comprobar si una de las excepciones aplica en su caso: www.daad.de/en/study-and-research-in- germany/scholarships/important-information-for-scholarship-applicants/ (Sección A punto 2),3. Si su caso hace parte de una de estas excepciones y usted decide postularse, debe explicarlo en el último espacio del formulario de la postulación en el DAAD Portal. El DAAD puede solicitarle documentos de soporte para comprobar sus circunstancias particulares (ejemplo: historias clínicas que evidencien que tuvo o tiene una enfermedad, que sufrió un accidente, etc.).,4. ¿Se necesita tener la aceptación del director de tesis/supervisor de Alemania?,5. En la postulación se deberán incluir las cartas de aceptación de los dos directores/supervisores de tesis; la del director de la universidad de origen y la del director/supervisor de la universidad alemana, quiénes supervisarán conjuntamente la investigación doctoral. Las características de esas cartas se explican en la presente guía, en la sección “Indicaciones sobre la documentación requerida”.,¿EN QUÉ IDIOMA SE PUEDE REALIZAR LA ESTANCIA DOCTORAL?,a. En Alemania normalmente se puede realizar estancias de investigación doctoral en alemán o en inglés. Cada universidad, centro de investigación o supervisor de tesis define el nivel de conocimientos de idioma y el tipo de certificado que solicita. El postulante es responsable de confirmar cuáles son esos requisitos directamente con la universidad, centro de investigación o director/supervisor de tesis con quien planea realizar la estancia en Alemania.,b. Para presentarse a esta convocatoria el DAAD no exige un certificado específico de idiomas, pero la postulación debe incluir alguna certificación que evidencie el cumplimiento de las siguientes condiciones:,c. Para realizar estancias en inglés: Contar con un nivel de comunicación fluido de manera oral y escrito. Para realizar investigaciones doctorales en inglés, el DAAD no exige conocimientos de alemán.,d. Para realizar estancias en alemán: El DAAD no exige un examen o puntaje específico, pero en este caso el postulante debe contar con un nivel de comunicación fluido de alemán de manera oral y escrito. Normalmente, los candidatos de algunas áreas del conocimiento como Derecho o Ciencias Humanas y Sociales, deben contar con muy buenos conocimientos de alemán desde el inicio de su postulación. Pero esto lo debe consultar el candidato directamente con la universidad alemana anfitriona o el director/supervisor de tesis de Alemania.,e. Para realizar estancias en español: Solo en casos excepcionales y en ciertas áreas del conocimiento (por ejemplo: Estudios Latinoamericanos o hispanoamericanos, Romanística), se pueden llevar a cabo investigaciones doctorales en español. Sin embargo, en estos casos el DAAD solicita que el candidato no solo pueda comunicarse en español, sino que además tenga conocimientos de inglés o de alemán. Adicionalmente, los candidatos que planean realizar su estancia de investigación en español deben informarse con la universidad alemana a la que está vinculado el director/supervisor de tesis, sobre las condiciones oficiales del idioma requerido para la escritura y presentación del documento oficial producto de la estancia de investigación.,f. Si la investigación doctoral en Alemania se realizará completamente en inglés, ¿se debe demostrar conocimientos de alemán?,g. Si la estancia de investigación en Alemania se llevará a cabo completamente en inglés, no se necesita demostrar conocimientos de alemán ante el DAAD.,¿ES POSIBLE POSTULARSE DESDE ALEMANIA?,1. Sí es posible, siempre y cuando el candidato no lleve viviendo en Alemania más de 15 meses en el momento de la fecha de cierre de la convocatoria. Si resulta seleccionado, el DAAD no le reembolsará el valor de ningún gasto en el que haya incurrido antes de la confirmación oficial de la beca.,2. Esta restricción no aplica si el candidato vivió previamente en Alemania y ya está radicado nuevamente en su país de origen en el momento de la postulación.,¿ES POSIBLE POSTULARSE SI YA SE ESTÁ REALIZANDO UN DOCTORADO EN ALEMANIA?,a. No. Este programa tiene previsto apoyar a los candidatos que estén matriculados en un Doctorado,b. en un país diferente a Alemania (por regla general una universidad colombiana, ecuatoriana, peruana o venezolana).,¿PUEDEN POSTULARSE CANDIDATOS QUE ESTÉN VIVIENDO EN OTRO PAÍS, QUE NO ES EL PAÍS DE ORIGEN NI ALEMANIA?,1. En caso tal que desde hace mínimo un año el candidato está radicado en un país diferente al de su origen (tampoco Alemania), y/o haya recibido en el país en el que actualmente vive su último título universitario, primero deberá contactar al DAAD de dicho país y confirmar si puede postularse a través de los programas de becas que estén disponibles para ese país o región. En esa comunicación deberá informar el tiempo de residencia y si está estudiando o ya obtuvo un título universitario allí.,2. Si le informan que una postulación no es posible, debe reenviar esa respuesta escrita a la Oficina Regional del DAAD en Bogotá para evaluar la viabilidad de su participación en esta convocatoria.,¿ES POSIBLE POSTULARSE A ESTA BECA TENIENDO ALGUNA DISCAPACIDAD O ENFERMEDAD CRÓNICA?,3. El DAAD apoya el llamado de la Convención de las Naciones Unidas sobre los Derechos de las Personas con Discapacidad (2009). Por eso, el DAAD invita a las personas con discapacidades o enfermedades crónicas a presentar su postulación. En caso de obtener la beca, el DAAD podría asumir una determinada cantidad de los gastos adicionales ocasionados en Alemania por una discapacidad o enfermedad crónica, que no puedan ser cubiertos por ningún otro portador de gastos; por ejemplo, el seguro médico. Si tiene más preguntas sobre el tema de la inclusión y la igualdad de oportunidades, puede escribir en inglés sobre su caso concreto a: diversity@daad.de.,INFORMACIÓN PARA CANDIDATOS DE MEDICINA, VETERINARIA Y ODONTOLOGÍA,a. Si es egresado de Medicina, Medicina Veterinaria u Odontología, debe tener en cuenta que el DAAD solo financia Doctorados en áreas que no correspondan al ámbito clínico o quirúrgico y orientar su postulación de acuerdo con la información disponible en los siguientes enlaces:,b. Inglés: Additional Information on DAAD Research Grants for Applicants from Medical Fields,c. Alemán: Zusätzliche Hinweise für DAAD-Forschungsstipendien für Bewerber aus medizinischen Fachbereichen","ciencias de la computación,Ingeniería",Doctorado,https://becas-sin-fronteras.com/beca/becas-alemania-becas-de-investigacion-de-doctorado-binacional-supervisado-11151/
Argentina,"Becas “En la región” para Latinoamérica del DAAD y la Universidad Nacional de San Juan – UNSJ, 2023","1. Se seleccionarán científicos jóvenes procedentes de países de América Latina y El Caribe que estén entre el 20% de los mejores de su promoción, y que preferentemente posean el grado de Magister, o al menos, el grado de Licenciado. Tendrán prioridad los candidatos que ya desempeñen funciones universitarias.,2. Es condición para los postulantes que no hayan transcurrido al momento de la solicitud más de seis años desde la obtención de su último título universitario o grado académico.,3. Adicionalmente, para el Doctorado en Ingeniería de Sistemas de Control, se requiere que los postulantes posean el título de ingeniero y cuya formación de grado incluya cursos del área de control de sistemas.",ciencias de la computación,"Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-en-la-region-para-latinoamerica-del-daad-y-la-universidad-nacional-de-san-juan-unsj-a3155/
,,,,,
Austria,"Becas Ernst Mach para estudiar en una universidad austríaca de ciencias aplicadas, 2023","SON ELEGIBLES PARA LA SOLICITUD AQUELLOS ESTUDIANTES QUE,1. Sean estudiantes de universidades no europeas que deseen pasar uno o dos semestres en una Universidad de Ciencias Aplicadas de Austria (""Fachhochschule""),2. Estén estudiando un programa de maestría en una universidad en uno de los países de origen definidos anteriormente o,3. Estén estudiando un programa de licenciatura en una universidad en uno de los países de origen definidos anteriormente y haber completado con éxito al menos 4 semestres de estudios al momento de recibir la beca,4. Edad máxima: 35 años (nacidos a partir del 1 de octubre de 1986),5. Los solicitantes no deben haber estudiado/realizado investigación/realizado trabajo académico en Austria en los últimos seis meses antes de recibir la beca.,6. Estas becas solamente se pueden aprovechar una vez dentro de este programa.,7. Muy buen conocimiento de inglés y/o alemán.","ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/beca-ernst-mach-para-estudiar-en-una-universidad-austriaca-de-ciencias-aplicadas-a2095/
Japón,"Becas SDGs Global Leader – JICA, 2021-2023","1. Estudios Requeridos: Profesional,2. Experiencia: Ver convocatoria,3. Edad: Menos de 40 al momento de postular,4. Idioma: inglés certificado,INFORMACIÓN IMPORTANTE SOBRE LOS REQUISITOS,a. Se requiere pregrado para postular a Magister, y se requiere Magister para estudios de doctorado.,b. El o la candidat@ debe presentar una Propuesta de Estudio de Investigación a las Universidades que son de su interés en Japón,c. Pueden surgir cambios en las fechas producto de la situación sanitaria, por lo que se debe revisar constantemente esta publicación por cambios que pudiesen surgir.,d. Dada la contingencia sanitaria, pueden surgir cambios de fecha o suspensión. Se debe estar atento a esta web o RRSS de Agcid.,e. Esta información general muestra información relacionada con cursos a largo plazo, incluidos cursos de maestría, cursos de doctorado y cursos combinados de maestría y doctorado.,f. Los candidatos solicitantes pueden seleccionar la universidad a la que desean postularse entre las universidades que han concluido un acuerdo sobre la aceptación de participantes de JICA con la condición de que el candidato apruebe el examen de ingreso. La información detallada sobre estas universidades asociadas se proporcionará por separado.,g. Los temas de investigación propuestos serán aquellos que contribuyan a la política del Gobierno para el desarrollo sostenible (Ejemplo: Administración/políticas públicas, finanzas, política internacional/diplomacia, investigación regional, negocios, comercio internacional/inversión, reducción del riesgo de desastres, asuntos marítimos, etc.),h. Además de los programas en los cursos de maestría y doctorado, se planificarán actividades como un programa a corto plazo (por ejemplo, Comprensión de la experiencia de desarrollo japonesa2) y/o un programa de pasantías para enriquecer los conocimientos académicos y personales de los participantes. experiencia de sus cursos de estudios en las universidades.,i. Se recomienda participar en programas de pasantías en entidades públicas o privadas durante su estadía en Japón. JICA preparará el contenido y el cronograma de la pasantía en estrecha consulta con los participantes y las organizaciones anfitrionas. En principio, no se debe pagar ninguna recompensa o compensación a los participantes o a las organizaciones anfitrionas.","ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-sdgs-global-leader-jica-a3137/
,,,,,
,,,,,
,,,,,
,,,,,
Canadá,"Becas McCall MacBain para estudios de maestría en McGill University en Canadá, 2023","QUE SE BUSCA EN LOS ASPIRANTES,1. Carácter excepcional,1.1. ¿Valora la excelencia, el trabajo duro, el servicio y el aprendizaje permanente?,1.2. ¿Te esfuerzas por actuar con integridad, honestidad y empatía?,1.3. ¿Tiene la tenacidad para perseguir objetivos a largo plazo?,1.4. ¿Está dispuesto a tomar riesgos significativos?,2. Participación de la comunidad,2.1. ¿Valora trabajar para y con otros para abordar los desafíos que enfrenta una comunidad?,2.2. ¿Persigue una amplitud y profundidad de intereses a través de sus actividades fuera del aula?,3. Liderazgo potencial,3.1. ¿Cree en trabajar con otros y guiarlos hacia un objetivo común?,3.2. ¿Está listo para asumir roles de liderazgo difíciles para promover un cambio significativo?,3.3. ¿Está motivado para ayudar a los demás y desarrollar el potencial de aquellos a quienes dirige?,4. Espíritu emprendedor,4.1. ¿Es capaz de identificar necesidades insatisfechas y motivar a otros a desarrollar soluciones creativas para abordar esas necesidades?,4.2. ¿Cree en forjar nuevos caminos y no ser retenido por el miedo al fracaso?,5. Fortaleza académica y curiosidad intelectual.,5.1. ¿Tiene un profundo interés y curiosidad por las personas, las ideas y el mundo que lo rodea?,5.2. ¿Está interesado en trabajar con personas que tienen diferentes perspectivas?,5.3. ¿Hay un buen ajuste entre su programa de posgrado propuesto, sus calificaciones y sus planes futuros?,REQUISITOS MÍNIMOS DE GRADO E IDIOMA,Para la admisión, los solicitantes deben cumplir con los requisitos mínimos de grado e idioma para la admisión al programa de maestría de McGill. Debe tener una licenciatura o su equivalente reconocido, o estar en camino de completarla para agosto de 2023.","ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/becas-mccall-macbain-para-estudios-de-maestria-en-mcgill-university-en-canada-a3158/
,,,,,
Francia,"Beca de Investigación de la Organización internacional de la viña y el vino, OIV , 2022",,ciencias de la computación,Doctorado,https://becas-sin-fronteras.com/beca/beca-de-investigacion-de-la-organizacion-internacional-de-la-vina-y-el-vino-oiv-a1797/
"online,España","Becas para maestría OEA – Formato Educativo, 2022","1. Serán elegibles los interesados con nacionalidad y/o residencia legal permanente de cualquiera de los Estados Miembros de la SG/OEA.,2. Para ser beneficiario de la beca, el candidato deberá haber finalizado el proceso de admisión y haber sido admitido en el programa de estudios en FE.,3. No haber recibido otras becas académicas de la OEA, en el mismo nivel de estudios propuesto a esta convocatoria.,4. Antes de iniciar cualquier Programa, todo Becario deberá demostrar su capacidad financiera para solventar los costos del Programa no cubierto por la Beca dentro de un plazo establecido.,5. No serán elegibles para recibir las Becas los funcionarios de la SG/OEA, las personas que se encuentren bajo contrato por resultados con la SG/OEA, el personal de las Misiones Permanentes ante la OEA ni los familiares de todas las personas antes mencionadas.","ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-para-maestria-oea-formato-educativo-a1774/
,,,,,
España,"Becas Grupo AFI, 2022-2023","REQUISITOS BÁSICOS DE LOS CANDIDATOS,1. Poseer un título de licenciatura o grado universitario, o estar en último año de carrera, estando condicionada la obtención del título de máster a la posesión del título de licenciatura, grado o equivalente.,2. Tener un buen expediente académico (mínimo notable o equivalente; se tendrán en cuenta los baremos de cada titulación y país).,3. Demostrar o acreditar un nivel de inglés equivalente o superior al nivel B2 del marco común europeo de referencia para las lenguas.,4. Contar con la aceptación de Afi Escuela de Finanzas en cualquiera de los tres programas que pueden ser objeto de beca: Master in Finance; Máster en Finanzas Cuantitativas y Máster en Data Science y Big Data en Finanzas.,5. Además de los anteriores requisitos mínimos deberá acreditarse información de la situación socio-económica de los candidatos que justifique la obtención de financiación de la matrícula. Para ello, deberá acreditarse de forma fehaciente dicha situación.",ciencias de la computación,Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-fundacion-afi-a1674/
Estados Unidos,"Beca Amelia Earhart, 2022-2023","1. Son elegibles las mujeres de cualquier nacionalidad que cursen un doctorado o realicen investigaciones y que demuestren un expediente académico superior en la realización de sus investigaciones aplicadas a la ingeniería aeroespacial o las ciencias espaciales.,2. Es imperativo que las estudiantes estén registradas en un programa de doctorado / investigación de tiempo completo,3. Que hayan completado al menos un año de ese programa o hayan recibido una maestría en un campo de aplicación aeroespacial al momento de presentar la solicitud.,4. La solicitante debe estar registrada en un programa de doctorado, o investigación a tiempo completo, antes del 15 de noviembre de 2022 y no deberá graduarse antes de abril de 2023.,5. Tenga en cuenta que los programas de investigación posdoctoral no son elegibles para la beca.,EXCLUSIONES,a. Las solicitantes no deben graduarse de su doctorado o programa de doctorado antes de abril de 2024.,b. Tenga en cuenta que los programas de investigación posdoctorales no son elegibles para la beca.,c. Las socias clasificadas (miembros del club y personas físicas con afiliación directa a Zonta International) y empleados de Zonta International y de la Fundación Zonta para la Mujer, y sus familiares (antepasados, descendientes, adoptados, hermanos, sobrinas o primos, y las de su cónyuge o pareja de hecho), no podrán optar a la Beca.,d. Igualmente, tenga en cuenta que las becarias anteriores del Programa Amelia Earhart no son elegibles para solicitar la renovación de la beca por un segundo año.",ciencias de la computación,Doctorado,https://becas-sin-fronteras.com/beca/beca-amelia-earhart-11225/
,,,,,
"online,Estados Unidos","Becas OEA – MIU City University Miami, 2022","1. Para obtener información detallada sobre el perfil requerido para cada programa de estudios, se recomienda que el solicitante visite el sitio web en esta página: https://miuniversity.edu/academic-programs/?utm_source=other&utm_medium=web&utm_content=pdf&utm_campaign=othermarconi_pdfen_gen_oea_web e ingrese el título de su preferencia.,2. Para solicitar una beca OEA-MIU es imprescindible haber sido admitido en alguno de los programas de estudio descritos anteriormente en la tabla de programas de MIU.,3. Los solicitantes deben seguir el proceso de admisión de MIU al programa de estudios de su interés.,4. El solicitante debe presentar toda la documentación que MIU requiere (ver la página: https://miuniversity.edu/admission/international-students/online/?utm_source=other&utm_medium=web&utm_content=pdf&utm_campaign=othermarconi_pdfen_gen_oea_web. Una vez que el estudiante es admitido al programa de su elección, MIU emitirá al estudiante una carta de aceptación.,5. Los solicitantes deben tener en cuenta que es necesario realizar el pago de la tasa de admisión exigida por MIU, para poder ser admitidos en el programa de estudios. Para obtener más información sobre los costos de admisión, comuníquese directamente con MIU.,6. Los estudiantes interesados en solicitar la beca deben seguir el proceso de admisión directamente con MIU, mencionado anteriormente.,7. Al ser admitido a los programas de estudios incluidos en esta convocatoria y recibir la carta de solicitud, el postulante será considerado automáticamente como candidato a la beca OEA-MIU.,8. La MIU y la OEA constituirán un Comité especializado para realizar la selección de los cien becarios. Entre los elementos que se considerarán para la adjudicación de becas se encuentran los siguientes aspectos:,9. La distribución geográfica de los candidatos, teniendo en cuenta las necesidades más importantes de los Estados Miembros, según el Índice de Desarrollo Humano reportado por el Programa de Naciones Unidas para el Desarrollo (PNUD).,PARA SER CONSIDERADO PARA ESTA OPORTUNIDAD DE BECA, EL SOLICITANTE DEBE,a. Proporcionar una carta de admisión incondicional a la MIU City University Miami.,b. Esta oportunidad de beca está abierta a nuevos solicitantes, así como a estudiantes actuales de MIU que sean de un estado miembro de la OEA.,c. Enviar una solicitud de beca completa con todos los documentos de respaldo requeridos.,d. Ser ciudadano o residente legal en cualquiera de los Estados miembros de la OEA,e. Aplicantes de Argentina deberán llenar el siguiente formulario: http://www.oas.org/en/scholarships/PAEC/2018/NOTA-SOLICITUD-DGCIN-2017.doc y,f. enviarlo a la Oficina Nacional de Enlace (ONE) en Argentina,LOS SIGUIENTES SOLICITANTES NO SON ELEGIBLES PARA ESTAS BECAS,1. Becarios actuales de la OEA,2. Personal de la SG / OEA y sus familiares inmediatos o consultores de la SG / OEA,3. Funcionarios permanentes de la OEA y sus familiares inmediatos.","ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/becas-oea-miu-city-university-miami-a3048/
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
España,"Becas del Ministerio de Ciencia e Innovación para Estudiantes de Postgrado en la Residencia de Estudiantes, 2022-2023","1. Poseer la nacionalidad española o de un país iberoamericano. Si ésta es adquirida, ha de hallarse efectivamente concedida y no en tramitación en el momento de solicitud de la beca.,2. También podrán optar a la beca aquellas personas que posean la nacionalidad de un Estado miembro de la Unión Europea y acrediten su residencia en España en el momento de solicitud de la beca. En este caso, deberán poseer perfecto dominio del castellano. Para acreditar la residencia en España se deberá presentar una copia del Certificado de registro de ciudadano de la Unión Europea.,3. Estar en posesión de un título universitario oficial de Grado, o equivalente, y estar en periodo de formación predoctoral, con un proyecto de investigación o de tesis doctoral en cualquier ámbito del conocimiento. No podrán optar a esta beca aquellas personas solicitantes que ya estén en posesión de un título de doctorado.,4. Presentar una memoria del trabajo que desea realizar durante el período de disfrute de la beca.,5. Tener como máximo 30 años en el momento de solicitud de la beca.,6. Estar al corriente en el cumplimiento de las obligaciones tributarias y con la Seguridad Social.,7. No recibir otras ayudas, públicas o privadas, que financien los mismos gastos que esta beca.,8. Las personas que soliciten la beca reservada para personas con discapacidad habrán de tener reconocida la condición legal de persona con discapacidad con un grado de minusvalía igual o superior al 33 por 100.","ciencias de la computación,Ingeniería","Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-del-ministerio-de-ciencia-e-innovacion-para-estudiantes-de-postgrado-en-la-residencia-de-estudiantes-a2516/
Suiza,"Becas de Excelencia del Gobierno de Suiza para postdoctorado, 2023-2024","1. Poseer un Doctorado obtenido después del 31 de diciembre de 2019 y antes del 31 de julio de 2023 (certificado de doctorado completado) reconocido por la universidad suiza. Como prueba, el título debe enviarse a la Comisión Federal de Becas antes del inicio de la beca.,2. Los solicitantes que hayan estado en Suiza por más de un año antes del comienzo de la beca, en septiembre, no son elegibles.,3. Los solicitantes que hayan estado en Suiza desde más de un año al comienzo de la beca en septiembre no son elegibles.,4. Documento de referencia si procede: añadir el permiso de residencia a los documentos de solicitud.,5. Los solicitantes deben proporcionar una carta de un profesor académico anfitrión (incluido su breve CV) en la universidad suiza elegida que confirme por qué está dispuesto a supervisar y apoyar la investigación postdoctoral. Sin dicha carta de apoyo específica, la solicitud será rechazada.,6. No se aceptan como supervisores académicos para los solicitantes de becas postdoctorales a sus antiguos mentores de doctorado ni a sus codirectores para el doctorado cotutelle si el supervisor académico está en una universidad suiza.,7. Los solicitantes deben tener una propuesta de investigación que incluya un plazo. Esta es la pieza central de la aplicación. El solicitante debe dedicarle toda la atención requerida.,8. Los solicitantes deben tener el dominio de las habilidades lingüísticas necesarias requeridas para la investigación postdoctoral.,9. Se espera que los becarios radiquen en Suiza durante el período completo de duración de la beca.","ciencias de la computación,Ingeniería",Posdoctorado,https://becas-sin-fronteras.com/beca/becas-de-excelencia-del-gobierno-de-suiza-para-postdoctorado-a1030/
Suiza,"Becas de Excelencia del Gobierno de Suiza para doctorado, 2023-2024","1. Poseer una maestría o título universitario equivalente obtenido antes del 31 de julio de 2023 (certificado de grado completado) reconocido por la universidad suiza.,Como prueba, el título debe enviarse a la Comisión Federal de Becas antes del inicio de los estudios.,2. La fecha de nacimiento del solicitante debe ser posterior al 31 de diciembre de 1987.,3. Una copia de la carta de apoyo de un profesor académico anfitrión con derecho a supervisar un doctorado (incluido su breve CV) en la universidad suiza elegida que confirme por qué está dispuesto a supervisar y apoyar la tesis doctoral. Si un profesor asistente apoya una candidatura, un profesor titular que tenga derecho a supervisar el doctorado durante toda la beca debe firmar conjuntamente la carta de apoyo. Esta carta no es la misma que la carta de recomendación confidencial también solicitada. Para estudios de doctorado en una Universidad de Ciencias Aplicadas, es obligatoria una carta adicional de apoyo de un miembro de la facultad de la universidad de investigación anfitriona en la que se completará el doctorado. Tenga en cuenta: los títulos de doctorado solo pueden ser otorgados por universidades de investigación.,4. Propuesta de investigación incluyendo un cronograma. Esta es la pieza central de la aplicación. El solicitante debe dedicarle toda la atención requerida.,5. Se espera que los becarios se muden a Suiza durante el período de su beca.","ciencias de la computación,Ingeniería",Doctorado,https://becas-sin-fronteras.com/beca/becas-de-excelencia-del-gobierno-de-suiza-para-doctorado-a1029/
